,gps_height,longitude,latitude,basin,region,extraction_type_class,management_group,payment,quality_group,source_class,waterpoint_type_group,target
55532,0,31.49386729,-1.45221888,Lake Victoria,Kagera,manual,user-group,never pay,unknown,groundwater,hand pump,0
55559,1464,34.06225057,-1.75142465,Lake Victoria,Mara,manual,user-group,other,other,groundwater,hand pump,1
55563,1588,34.70186248,-1.83509431,Lake Victoria,Mara,manual,user-group,never pay,other,groundwater,hand pump,1
55564,0,30.89846908,-2.86572833,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,0
55568,1184,34.49883893,-1.52553632,Lake Victoria,Mara,manual,commercial,never pay,other,groundwater,hand pump,1
55569,1311,34.46817727,-2.02600315,Lake Victoria,Mara,manual,user-group,other,other,groundwater,hand pump,0
55583,0,33.54388286,-2.87831297,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
55595,0,31.73745427,-2.62376749,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
55608,0,31.46845403,-1.47705042,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
55612,0,31.66164599,-1.57608933,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
55613,0,30.82377007,-2.5033752999999996,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,communal standpipe,0
55615,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
55620,0,34.35041531,-3.03458249,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
55621,1572,34.51470223,-1.31984184,Lake Victoria,Mara,manual,unknown,other,good,groundwater,hand pump,1
55624,0,30.94724384,-1.63363877,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
55630,0,31.12943176,-1.48957123,Lake Victoria,Kagera,other,other,never pay,good,surface,communal standpipe,1
55636,1243,34.30170392,-1.67410432,Lake Victoria,Mara,manual,other,never pay,good,groundwater,hand pump,1
55641,0,31.02823612,-1.23257614,Lake Victoria,Kagera,other,other,never pay,good,surface,communal standpipe,1
55642,0,33.60126016,-2.94810104,Lake Victoria,Shinyanga,other,unknown,unknown,good,surface,communal standpipe,0
55645,0,31.59139255,-1.79984402,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
55653,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
55685,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
55693,1180,33.75549444,-1.85902926,Lake Victoria,Mara,other,user-group,unknown,other,groundwater,hand pump,1
55702,0,31.74640585,-2.81991306,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
55703,0,31.06272226,-1.57090143,Lake Victoria,Kagera,other,other,never pay,good,surface,communal standpipe,1
55706,1332,33.89508859,-1.78999701,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
55717,1306,34.01674305,-3.03763806,Lake Victoria,Shinyanga,other,parastatal,other,good,surface,communal standpipe,0
55735,0,32.8384649,-2.90948616,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,surface,communal standpipe,0
55738,0,31.73456591,-2.4426827999999996,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
55759,0,33.5091356,-2.91733436,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
55760,1279,33.80932826,-1.60033448,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,0
55774,0,32.68350111,-2.53084836,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
55777,0,31.15260862,-1.37192821,Lake Victoria,Kagera,other,user-group,other,good,surface,communal standpipe,1
55788,1908,35.36938545,-1.86755021,Lake Victoria,Arusha,other,parastatal,never pay,good,surface,communal standpipe,1
55792,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,other,groundwater,hand pump,0
55804,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,good,groundwater,hand pump,1
55805,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,other,groundwater,hand pump,0
55812,0,30.794999600000004,-1.41500234,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
55820,0,32.10780988,-2.45240135,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
55830,0,33.27897756,-3.19215215,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
55838,0,32.87777111,-3.29367054,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,1
55841,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
55847,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,unknown,surface,communal standpipe,0
55852,0,31.53215986,-1.5880705,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
55857,1346,34.09681312,-2.90840474,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
55869,0,32.69610108,-2.5287764,Lake Victoria,Mwanza,other,user-group,never pay,good,groundwater,hand pump,1
55870,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
55874,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,good,groundwater,hand pump,1
55879,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
55885,0,31.57246081,-1.62471671,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
55888,0,0.0,-2e-08,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,1
55892,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
55893,0,30.84543682,-1.40514092,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,1
55900,0,32.2982374,-2.52338382,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,surface,communal standpipe,0
55906,1262,34.28206403,-1.68030142,Lake Victoria,Mara,manual,other,never pay,other,unknown,hand pump,1
55913,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
55923,1365,34.41621664,-1.7718131,Lake Victoria,Mara,other,other,never pay,good,surface,communal standpipe,1
55925,1306,34.6089203,-1.63137876,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,1
55939,0,32.80555138,-2.49334285,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
55945,1378,34.22878181,-2.95377209,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
55946,0,31.69715317,-2.65290562,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
55950,0,31.54867883,-1.45052073,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
55952,0,32.95845579,-2.53266515,Lake Victoria,Mwanza,manual,commercial,other,other,groundwater,hand pump,1
55957,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,unknown,groundwater,hand pump,0
55977,0,33.1603376,-2.9585736,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
56004,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
56014,0,30.83360347,-2.52545553,Lake Victoria,Kagera,other,user-group,other,good,groundwater,communal standpipe,1
56022,1341,34.575230700000006,-1.64795623,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,1
56028,0,31.10373196,-1.72277488,Lake Victoria,Kagera,other,user-group,other,good,groundwater,communal standpipe,1
56030,0,31.02172786,-1.67121835,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
56035,1860,35.5095354,-2.31950111,Lake Victoria,Arusha,other,user-group,never pay,good,groundwater,communal standpipe,0
56040,0,33.77646669,-3.16385037,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
56042,0,34.35069097,-3.10487265,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
56047,0,34.17349383,-3.00611895,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
56052,1354,34.29999976,-1.82224058,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,0
56055,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,unknown,surface,communal standpipe,0
56063,1238,33.8126756,-1.76230703,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
56066,0,30.50001078,-2.72602617,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
56068,0,31.42481635,-1.20287531,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,0
56077,0,33.728495200000005,-3.02514363,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
56086,0,31.7316368,-2.4777449,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,1
56090,1581,34.67680393,-1.82120271,Lake Victoria,Mara,manual,commercial,never pay,other,groundwater,hand pump,1
56096,0,31.66090494,-1.84752487,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
56110,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
56111,0,32.06203351,-2.40255082,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
56121,0,0.0,-2e-08,Lake Victoria,Mwanza,other,user-group,never pay,good,groundwater,hand pump,1
56123,0,33.37246611,-2.5818242,Lake Victoria,Mwanza,manual,user-group,other,other,groundwater,hand pump,1
56127,0,31.565634000000003,-1.63132017,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
56129,0,31.59911848,-1.83310818,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
56131,0,0.0,-2e-08,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
56135,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
56142,0,33.04316132,-2.55329273,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,surface,communal standpipe,0
56150,1443,34.60354637,-1.72478233,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
56161,0,33.66780117,-3.15788546,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
56163,1360,33.91563253,-2.00534649,Lake Victoria,Mara,other,user-group,unknown,unknown,surface,communal standpipe,0
56168,1218,34.41298624,-1.5675083,Lake Victoria,Mara,manual,commercial,never pay,other,groundwater,hand pump,1
56175,0,31.61755784,-2.63382654,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
56176,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
56185,0,30.65847178,-2.53039654,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
56188,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,unknown,surface,communal standpipe,0
56195,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
56208,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,good,groundwater,communal standpipe,0
56221,0,32.05827284,-2.31402618,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
56225,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,1
56235,1583,34.48601508,-1.34313157,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
56238,1305,34.28595837,-1.69666593,Lake Victoria,Mara,manual,user-group,never pay,other,groundwater,hand pump,1
56240,0,30.5340925,-2.66867961,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
56250,0,31.02006465,-1.78951269,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
56261,1225,34.5927625,-1.60142975,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
56267,1143,33.50796412,-2.15691423,Lake Victoria,Mara,other,user-group,other,good,surface,communal standpipe,0
56268,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56272,1488,34.60856915,-1.43678632,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,0
56280,1205,34.00219081,-2.03853801,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,0
56291,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
56294,0,31.17236812,-1.4494598,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
56307,0,31.40654156,-1.20634709,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
56311,0,30.85216209,-1.54460651,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
56314,0,31.79306244,-1.36404511,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
56324,0,30.88801193,-1.48838539,Lake Victoria,Kagera,other,other,other,good,surface,communal standpipe,1
56327,1241,34.16584347,-1.26496055,Lake Victoria,Mara,mechanical,user-group,never pay,other,groundwater,communal standpipe,1
56339,1335,33.90260686,-1.80268083,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,1
56340,0,30.53190794,-2.53948691,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,communal standpipe,0
56342,0,30.99071963,-1.6870599999999998,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
56352,0,31.61264552,-1.47731594,Lake Victoria,Kagera,other,unknown,never pay,unknown,surface,communal standpipe,0
56354,0,31.58464798,-1.20549503,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
56355,1345,34.36867143,-1.7415174999999998,Lake Victoria,Mara,other,user-group,unknown,good,groundwater,communal standpipe,1
56365,0,30.54590413,-2.52906725,Lake Victoria,Kagera,other,user-group,never pay,unknown,groundwater,communal standpipe,0
56367,0,32.29217668,-2.51099991,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
56379,1224,33.49757704,-2.11953931,Lake Victoria,Mara,other,user-group,other,good,surface,communal standpipe,0
56382,0,30.65134907,-2.5314968,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
56384,0,33.42685532,-3.12130976,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56403,0,33.66795258,-2.95902755,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
56423,0,33.04057293,-2.45619558,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56424,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
56429,0,31.79153331,-1.37568133,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
56433,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,never pay,unknown,surface,communal standpipe,0
56443,0,33.06006908,-2.96974465,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
56449,0,30.69641579,-2.49052086,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
56450,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56453,0,31.58498821,-1.20543821,Lake Victoria,Kagera,mechanical,user-group,never pay,good,surface,communal standpipe,0
56454,0,31.633088899999997,-2.68529503,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
56465,1190,33.90916061,-1.44734888,Lake Victoria,Mara,mechanical,user-group,never pay,good,surface,communal standpipe,0
56468,1143,33.21594859,-2.12311098,Lake Victoria,Mara,manual,user-group,other,good,groundwater,hand pump,1
56469,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
56470,0,31.39260264,-1.44113727,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
56472,0,30.53544244,-2.46057319,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
56482,0,32.16464162,-2.40989232,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56484,1895,35.50624684,-2.37542109,Lake Victoria,Arusha,other,parastatal,never pay,good,surface,communal standpipe,1
56487,1377,34.29083492,-2.96510194,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
56492,0,30.93591672,-1.21514305,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
56506,0,30.53709561,-2.74127557,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
56507,0,32.72694793,-2.83926488,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
56512,0,30.91006248,-1.48225659,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
56519,1167,33.40004551,-1.82083054,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,0
56525,0,33.3631463,-3.01404957,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56528,1417,33.90622288,-2.01573877,Lake Victoria,Mara,manual,user-group,other,good,groundwater,hand pump,1
56531,0,31.47671506,-1.54598254,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
56534,1405,34.0170034,-1.90036477,Lake Victoria,Mara,other,user-group,other,good,groundwater,communal standpipe,0
56546,0,31.43089665,-1.29952675,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
56554,0,30.63087577,-2.68997383,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
56556,1371,34.31595564,-2.98122369,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
56581,1302,33.8579357,-1.97932613,Lake Victoria,Mara,other,user-group,other,good,surface,communal standpipe,1
56582,0,33.32624236,-2.75849007,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56594,0,33.07352759,-3.30928321,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
56599,0,0.0,-2e-08,Lake Victoria,Shinyanga,other,parastatal,never pay,good,surface,communal standpipe,1
56607,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
56614,0,33.43403482,-2.82386884,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
56638,0,31.4090049,-1.20644306,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,0
56662,0,33.21806298,-2.72095943,Lake Victoria,Mwanza,mechanical,user-group,other,good,groundwater,communal standpipe,1
56663,0,31.51534865,-1.57924261,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,1
56666,0,30.87931271,-1.43443178,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
56676,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
56683,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
56685,0,33.55524774,-2.53363334,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56687,0,34.15751703,-3.05070237,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
56688,0,31.0722554,-1.54251628,Lake Victoria,Kagera,manual,user-group,other,good,surface,communal standpipe,1
56703,0,33.42904061,-2.66272539,Lake Victoria,Mwanza,other,user-group,never pay,good,groundwater,hand pump,1
56708,0,33.489538800000005,-2.60914711,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,0
56722,1192,34.06134484,-1.59439091,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,1
56749,0,33.40856696,-2.79923483,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56755,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,other,groundwater,hand pump,1
56771,0,31.10585415,-1.70810178,Lake Victoria,Kagera,other,user-group,other,good,groundwater,communal standpipe,1
56776,1270,34.35175857,-1.987633,Lake Victoria,Mara,other,other,never pay,good,surface,communal standpipe,0
56778,0,32.55854432,-2.70676659,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,surface,communal standpipe,0
56786,0,30.69287827,-2.76357389,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
56798,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
56806,0,30.55505086,-2.51194613,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
56807,0,32.91873007,-2.63162965,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
56809,0,31.7434752,-3.02844763,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
56812,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
56820,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
56821,0,30.53886545,-2.53953461,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
56831,1205,33.92180418,-1.38167797,Lake Victoria,Mara,mechanical,user-group,never pay,good,surface,communal standpipe,0
56839,0,31.38634651,-1.42205611,Lake Victoria,Kagera,other,user-group,never pay,unknown,surface,communal standpipe,0
56842,0,31.03799548,-1.45436979,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,hand pump,0
56866,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,0
56869,0,31.46679987,-1.27566475,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
56873,0,32.48120948,-2.59518495,Lake Victoria,Mwanza,mechanical,user-group,other,good,surface,communal standpipe,0
56874,0,34.17254862,-3.11686337,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
56881,0,31.4959076,-1.56556059,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
56883,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,unknown,groundwater,hand pump,0
56885,1342,34.10176646,-2.85890457,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,0
56890,1355,34.31258321,-1.82070211,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,1
56898,0,33.42672004,-2.61890124,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
56899,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,unknown,surface,communal standpipe,0
56900,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
56902,0,33.55516817,-2.87798478,Lake Victoria,Shinyanga,other,user-group,other,other,surface,communal standpipe,0
56903,1165,33.11608578,-2.11627654,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
56906,0,34.17888355,-3.08364773,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,1
56914,0,33.00170403,-3.054586,Lake Victoria,Mwanza,manual,user-group,never pay,unknown,groundwater,hand pump,0
56920,0,33.32649422,-3.22008056,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56926,0,34.07188945,-3.11521609,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
56939,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
56942,0,33.47551891,-2.5029867,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
56956,0,33.02366176,-3.73184127,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
56970,0,30.77619017,-1.41028523,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
56973,1283,34.23466046,-1.72742469,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,0
56976,0,30.69111427,-2.5473908,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
56986,0,31.6414351,-2.6735084,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
56990,0,33.3895094,-2.60819102,Lake Victoria,Mwanza,mechanical,user-group,other,good,groundwater,communal standpipe,0
56991,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
57018,0,30.70498903,-2.49324436,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,communal standpipe,0
57028,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
57032,1261,34.36523143,-1.62693942,Lake Victoria,Mara,other,user-group,never pay,good,groundwater,communal standpipe,0
57034,0,32.12250858,-2.41279863,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
57040,0,30.77136966,-2.63381881,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
57043,0,33.28868995,-2.63643976,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
57047,0,30.67924327,-2.55415287,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
57058,0,32.92626065,-2.70684483,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
57063,0,30.52108497,-2.85673671,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
57064,0,34.01425879,-3.10797889,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
57068,1361,34.20932797,-1.21230203,Lake Victoria,Mara,mechanical,other,never pay,good,surface,communal standpipe,0
57080,1658,34.55377345,-1.35561588,Lake Victoria,Mara,mechanical,user-group,other,good,surface,communal standpipe,1
57081,0,33.58377817,-2.70043862,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
57108,0,31.15922056,-1.45018429,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
57114,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
57115,0,31.42552791,-1.20500629,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
57133,1208,33.88952145,-1.25190197,Lake Victoria,Mara,mechanical,user-group,unknown,good,surface,communal standpipe,0
57135,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
57137,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
57155,1229,34.34907851,-1.63027435,Lake Victoria,Mara,manual,commercial,never pay,other,groundwater,hand pump,1
57156,0,0.0,-2e-08,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,1
57174,1139,33.07961381,-2.10460297,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
57179,1573,34.7237126,-1.84448206,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,0
57182,0,31.73220213,-2.46986746,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,1
57210,0,32.61120201,-2.47818672,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
57213,0,30.52297865,-2.61755569,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
57229,0,31.46807613,-2.03044586,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
